Station,Train Operating Companies / Lines,Postcode,Cardinal Direction,Region,Closest Major City,Landmark 1,Landmark 2,Landmark 3
Truro,Great Western Railway,TR1 3HW,South,South West,London,Truro Cathedral,Royal Cornwall Museum,None
Redruth,Great Western Railway,TR15 2EG,South,South West,London,None,None,None
Camborne,Great Western Railway,TR14 8DS,South,South West,London,None,None,None
Hayle,Great Western Railway,Unknown,South,South West,London,None,None,None
St Erth,Great Western Railway,TR27 6HU,South,South West,London,None,None,None
Penzance,"Great Western Railway,Night Riviera Sleeper",TR18 2LT,South,South West,London,Penlee House Gallery,St Michael's Mount (distant),None
Falmouth Docks,Great Western Railway,TR11 4NQ,South,South West,London,National Maritime Museum Cornwall,None,None
Falmouth Town,Great Western Railway,TR11 3AT,South,South West,London,None,None,None
Penryn,Great Western Railway,Unknown,South,South West,London,None,None,None
Penmere,Great Western Railway,Unknown,South,South West,London,None,None,None
Perranwell,Great Western Railway,Unknown,South,South West,London,None,None,None
Mylor Bridge,Great Western Railway,Unknown,South,South West,London,None,None,None
Devoran,Great Western Railway,Unknown,South,South West,London,None,None,None
Carnon,Great Western Railway,Unknown,South,South West,London,None,None,None
Newquay,Great Western Railway,TR7 1BY,South,South West,London,Newquay Beach,Blue Reef Aquarium,None
St Columb Road,Great Western Railway,Unknown,South,South West,London,None,None,None
Quintrel Downs,Great Western Railway,Unknown,South,South West,London,None,None,None
St Dennis Junction,Great Western Railway,Unknown,South,South West,London,None,None,None
Bugle,Great Western Railway,Unknown,South,Wales,Cardiff,None,None,None
Luxulyan,Great Western Railway,Unknown,South,South West,London,None,None,None
Goonbarrow Junction,Great Western Railway,Unknown,South,South West,London,None,None,None
Barnstaple,Great Western Railway,EX31 1BS,South,South West,London,Barnstaple Guildhall,None,None
Crediton,Great Western Railway,Unknown,South,South West,London,None,None,None
Copplestone,Great Western Railway,Unknown,South,South West,London,None,None,None
Morchard Road,Great Western Railway,Unknown,South,South West,London,None,None,None
Lapford,Great Western Railway,Unknown,South,South West,London,None,None,None
Eggesford,Great Western Railway,Unknown,South,South West,London,None,None,None
Kings Nympton,Great Western Railway,Unknown,South,South West,London,None,None,None
Portsmouth Arms,Great Western Railway,Unknown,South,South West,London,None,None,None
Umberleigh,Great Western Railway,Unknown,South,South West,London,None,None,None
Chapelton,Great Western Railway,Unknown,South,South West,London,None,None,None
Okehampton,Great Western Railway,EX20 1DH,South,South West,London,None,None,None
Sampford Courtenay,Great Western Railway,Unknown,South,South West,London,None,None,None
Yeoford,Great Western Railway,Unknown,South,South West,London,None,None,None
Reading,"Great Western Railway,CrossCountry,Elizabeth line,South Western Railway,Chiltern Railways",RG1 1LX,South,South East,London,Reading Abbey Ruins,None,None
Didcot Parkway,"Great Western Railway,CrossCountry",OX11 7NX,South,South East,London,Didcot Railway Centre,None,None
Swindon,"Great Western Railway,CrossCountry",SN1 1DA,South,South West,London,Steam Museum of the GWR,STEAM Museum,None
Bath Spa,Great Western Railway,BA1 1SU,South,South West,London,Roman Baths,Bath Abbey,Pulteney Bridge
Bristol Temple Meads,"Great Western Railway,CrossCountry,South Western Railway",BS1 6QF,South,South West,London,SS Great Britain,Brunel's Terminus Building,Arnolfini Gallery
Bristol Parkway,"Great Western Railway,CrossCountry",BS34 5TB,South,South West,London,None,None,None
Chippenham,Great Western Railway,SN15 1HL,South,South West,London,None,None,None
Melksham,Great Western Railway,SN12 7BU,South,South West,London,None,None,None
Trowbridge,Great Western Railway,BA14 8DB,South,South West,London,None,None,None
Westbury,Great Western Railway,BA13 3BY,South,South West,London,Westbury White Horse (3km),None,None
Frome,Great Western Railway,BA11 1EF,South,South West,London,None,None,None
Bruton,Great Western Railway,Unknown,South,South West,London,None,None,None
Castle Cary,Great Western Railway,BA7 7EG,South,South West,London,None,None,None
Bridgwater,Great Western Railway,TA6 3HB,South,South West,London,None,None,None
Taunton,"Great Western Railway,CrossCountry",TA1 1PR,South,South West,London,Taunton Castle,Somerset County Museum,None
Tiverton Parkway,"Great Western Railway,CrossCountry",EX16 8NN,South,South West,London,None,None,None
Weston-super-Mare,Great Western Railway,BS23 1QY,South,South West,London,Weston-super-Mare Pier,None,None
Clevedon,Great Western Railway,Unknown,South,South West,London,None,None,None
Nailsea & Backwell,Great Western Railway,Unknown,South,South West,London,None,None,None
Yatton,Great Western Railway,Unknown,South,South West,London,None,None,None
Worle,Great Western Railway,Unknown,South,South West,London,None,None,None
Highbridge & Burnham,Great Western Railway,TA9 3BW,South,South West,London,None,None,None
Burnham-on-Sea,Great Western Railway,Unknown,South,South West,London,None,None,None
Maidenhead,"Great Western Railway,Elizabeth line",SL6 1ED,South,South East,London,Maidenhead Bridge,None,None
Slough,"Great Western Railway,Elizabeth line",SL1 1RW,South,South East,London,None,None,None
Windsor & Eton Central,Great Western Railway,SL4 1PJ,South,South East,London,Windsor Castle,Eton College,Long Walk
Windsor & Eton Riverside,South Western Railway,SL4 1PN,South,South East,London,Windsor Castle,Eton College,None
Taplow,"Great Western Railway,Elizabeth line",Unknown,South,South West,London,None,None,None
Burnham,"Great Western Railway,Elizabeth line",Unknown,South,South West,London,None,None,None
Twyford,"Great Western Railway,Elizabeth line",RG10 9AB,South,South East,London,None,None,None
Goring & Streatley,Great Western Railway,Unknown,South,South West,London,None,None,None
Cholsey,Great Western Railway,Unknown,South,South West,London,None,None,None
Appleford,Great Western Railway,Unknown,South,South West,London,None,None,None
Culham,Great Western Railway,Unknown,South,South West,London,None,None,None
Radley,Great Western Railway,Unknown,South,South West,London,None,None,None
Abingdon,Great Western Railway,Unknown,South,South West,London,None,None,None
Oxford,"Great Western Railway,CrossCountry,Chiltern Railways,London Northwestern Railway",OX1 1HP,South,South East,London,Christ Church Cathedral,Oxford Covered Market,Radcliffe Camera
Oxford Parkway,Chiltern Railways,OX2 8HA,South,South East,London,None,None,None
Banbury,"Chiltern Railways,CrossCountry",OX16 5AA,Central,South East,London,Banbury Cross,None,None
Leamington Spa,"Chiltern Railways,CrossCountry,London Northwestern Railway",CV31 3NU,Central,West Midlands,London,Jephson Gardens,Royal Pump Rooms,None
Warwick,Chiltern Railways,Unknown,Central,West Midlands,London,None,None,None
Warwick Parkway,Chiltern Railways,Unknown,Central,West Midlands,London,None,None,None
Hatton,Chiltern Railways,Unknown,South,South East,London,None,None,None
Lapworth,Chiltern Railways,Unknown,Central,West Midlands,London,None,None,None
Dorridge,Chiltern Railways,Unknown,Central,West Midlands,London,None,None,None
Solihull,Chiltern Railways,Unknown,Central,West Midlands,London,None,None,None
Olton,Chiltern Railways,Unknown,Central,West Midlands,London,None,None,None
Acocks Green,Chiltern Railways,Unknown,South,South East,London,None,None,None
Birmingham Moor Street,Chiltern Railways,B5 4BE,Central,West Midlands,London,Bullring & Selfridges,Digbeth Coach Station,None
Birmingham Snow Hill,"Chiltern Railways,West Midlands Railway",B4 6AF,Central,West Midlands,London,Jewellery Quarter Museum,St Paul's Church,None
Jewellery Quarter,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
The Hawthorns,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Smethwick Galton Bridge,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Stourbridge Junction,West Midlands Railway,DY8 1DS,Central,West Midlands,London,None,None,None
Stourbridge Town,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Kidderminster,"West Midlands Railway,CrossCountry",DY10 1QR,Central,West Midlands,London,Kidderminster Town Hall,None,None
Hartlebury,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Droitwich Spa,"West Midlands Railway,CrossCountry",Unknown,Central,West Midlands,London,None,None,None
Worcester Shrub Hill,"West Midlands Railway,CrossCountry,Great Western Railway",WR4 9AB,Central,West Midlands,London,Worcester Cathedral,The Commandery,None
Worcester Foregate Street,"West Midlands Railway,CrossCountry,Great Western Railway",WR1 1BA,Central,West Midlands,London,Worcester Cathedral,None,None
Malvern Link,"West Midlands Railway,CrossCountry,Great Western Railway",Unknown,Central,West Midlands,London,None,None,None
Great Malvern,"West Midlands Railway,CrossCountry,Great Western Railway",WR14 3BL,Central,West Midlands,London,Malvern Priory,None,None
Colwall,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Ledbury,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Hereford,"Transport for Wales,West Midlands Railway",HR1 2BH,South,Wales,Cardiff,Hereford Cathedral,Mappa Mundi,None
Leominster,Transport for Wales,Unknown,Central,West Midlands,London,None,None,None
Ludlow,Transport for Wales,SY8 2PQ,Central,West Midlands,London,Ludlow Castle,None,None
Craven Arms,Transport for Wales,Unknown,Central,West Midlands,London,None,None,None
Church Stretton,Transport for Wales,Unknown,Central,West Midlands,London,None,None,None
Shrewsbury,"Transport for Wales,Avanti West Coast",SY1 1QU,Central,West Midlands,Manchester,Shrewsbury Castle,Shrewsbury Abbey,Charles Darwin Statue
Welshpool,Transport for Wales,Unknown,Central,West Midlands,London,None,None,None
Newtown,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Caersws,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Machynlleth,Transport for Wales,SY20 8AB,West,Wales,Cardiff,Parliament House (Owain Glyndwr),None,None
Aberdovey,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Tywyn,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Barmouth,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Harlech,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Porthmadog,Transport for Wales,LL49 9LR,North,Wales,Liverpool,None,None,None
Criccieth,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Pwllheli,Transport for Wales,LL53 5HR,North,Wales,Liverpool,None,None,None
Aberystwyth,Transport for Wales,SY23 1DX,West,Wales,Cardiff,Aberystwyth Castle,National Library of Wales,None
Borth,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Dovey Junction,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Wrexham General,Transport for Wales,LL13 7AT,North,Wales,Liverpool,None,None,None
Wrexham Central,Transport for Wales,Unknown,South,Wales,Liverpool,None,None,None
Ruabon,Transport for Wales,Unknown,South,Wales,Liverpool,None,None,None
Chirk,Transport for Wales,Unknown,South,Wales,Liverpool,None,None,None
Gobowen,Transport for Wales,Unknown,South,Wales,Liverpool,None,None,None
Chester,"Transport for Wales,Avanti West Coast,Northern,CrossCountry",CH1 3DG,North,North West,Liverpool,Chester Cathedral,Chester Roman Walls,Chester Rows
Flint,Transport for Wales,Unknown,South,Wales,Liverpool,None,None,None
Rhyl,Transport for Wales,LL18 3AB,North,Wales,Liverpool,None,None,None
Colwyn Bay,Transport for Wales,LL29 8DP,North,Wales,Liverpool,None,None,None
Llandudno Junction,Transport for Wales,LL31 9AS,North,Wales,Liverpool,Conwy Castle (1km),None,None
Llandudno,Transport for Wales,Unknown,South,Wales,Liverpool,None,None,None
Conwy,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Bangor,"Transport for Wales,Avanti West Coast",LL57 2SG,North,Wales,Liverpool,Bangor Cathedral,Penrhyn Castle (2km),None
Holyhead,"Transport for Wales,Avanti West Coast",LL65 2YF,North,Wales,Liverpool,South Stack Lighthouse (3km),None,None
Llanfairpwll,Transport for Wales,Unknown,South,Wales,Liverpool,None,None,None
Bodorgan,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Ty Croes,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Rhosneigr,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Valley,Transport for Wales,Unknown,North,Scotland,Glasgow,None,None,None
Prestatyn,Transport for Wales,Unknown,South,Wales,Liverpool,None,None,None
Abergele & Pensarn,Transport for Wales,Unknown,South,Wales,Liverpool,None,None,None
Mochdre & Pabo,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Llanfairfechan,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Penmaenmawr,Transport for Wales,Unknown,North,Scotland,Glasgow,None,None,None
Mold Junction,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Hawarden Bridge,Transport for Wales,Unknown,South,Wales,Liverpool,None,None,None
Shotton,Transport for Wales,Unknown,South,Wales,Liverpool,None,None,None
Hawarden,Transport for Wales,Unknown,South,Wales,Liverpool,None,None,None
Buckley,Transport for Wales,Unknown,South,Wales,Liverpool,None,None,None
Penyffordd,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Hope (Flintshire),Transport for Wales,Unknown,South,Wales,Liverpool,None,None,None
Caergwrle,Transport for Wales,Unknown,South,Wales,Liverpool,None,None,None
Cefn-y-Bedd,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Gwersyllt,Transport for Wales,Unknown,South,Wales,Liverpool,None,None,None
Caldicot,Transport for Wales,NP26 4BE,South,Wales,Cardiff,Caldicot Castle,None,None
Chepstow,Transport for Wales,NP16 5EH,South,Wales,Cardiff,Chepstow Castle,None,None
Lydney,Great Western Railway,GL15 5HY,South,South West,Cardiff,None,None,None
Cam & Dursley,Great Western Railway,GL11 5JQ,South,South West,London,None,None,None
Stonehouse,Great Western Railway,GL10 2LQ,South,South West,London,None,None,None
Stroud,Great Western Railway,GL5 3AQ,South,South West,London,None,None,None
Kemble,Great Western Railway,GL7 6AD,South,South West,London,None,None,None
Cirencester Town,Great Western Railway,Unknown,South,South West,London,None,None,None
Cheltenham Spa,"Great Western Railway,CrossCountry",GL50 1SR,South,South West,London,Cheltenham Racecourse (2km),Imperial Gardens,None
Gloucester,"Great Western Railway,CrossCountry",GL1 1PY,South,South West,London,Gloucester Cathedral,Gloucester Docks,None
Ashchurch for Tewkesbury,CrossCountry,GL20 8BL,South,South West,London,Tewkesbury Abbey (2km),None,None
Pershore,Great Western Railway,WR10 1GF,Central,West Midlands,London,Pershore Abbey,None,None
Evesham,Great Western Railway,WR11 4AY,Central,West Midlands,London,Evesham Bell Tower,Abbey Park Evesham,None
Honeybourne,Great Western Railway,Unknown,South,South West,London,None,None,None
Moreton-in-Marsh,Great Western Railway,GL56 0AA,South,South West,London,None,None,None
Kingham,Great Western Railway,Unknown,South,South West,London,None,None,None
Charlbury,Great Western Railway,Unknown,South,South West,London,None,None,None
Hanborough,Great Western Railway,Unknown,South,South West,London,None,None,None
Combe,Great Western Railway,Unknown,South,South West,London,None,None,None
Finstock,Great Western Railway,Unknown,South,South West,London,None,None,None
Birmingham New Street,"Avanti West Coast,CrossCountry,West Midlands Railway,London Northwestern Railway,CrossCountry",B2 4QA,Central,West Midlands,London,Bullring & Selfridges,Victoria Square (The Floozy),Birmingham Museum & Art Gallery
Birmingham International,"Avanti West Coast,CrossCountry,London Northwestern Railway",B26 3QJ,Central,West Midlands,London,NEC Birmingham,None,None
Coventry,"Avanti West Coast,CrossCountry,London Northwestern Railway",CV1 2JX,Central,West Midlands,London,Coventry Cathedral (ruins & new),Herbert Art Gallery,Lady Godiva Statue
Wolverhampton,"Avanti West Coast,CrossCountry,West Midlands Railway,London Northwestern Railway",WV1 1TR,Central,West Midlands,London,Wolverhampton Art Gallery,St Peter's Collegiate Church,None
Stafford,"Avanti West Coast,CrossCountry,London Northwestern Railway",ST16 2BP,Central,West Midlands,London,Staffordshire County Museum,None,None
Stoke-on-Trent,"Avanti West Coast,CrossCountry,East Midlands Railway",ST4 2AA,Central,West Midlands,Manchester,Wedgwood Museum (distant),None,None
Crewe,"Avanti West Coast,CrossCountry,Northern,London Northwestern Railway,Transport for Wales",CW1 2DA,West,North West,Manchester,Crewe Heritage Centre,None,None
Macclesfield,Avanti West Coast,SK11 6QN,North,North West,Manchester,None,None,None
Wilmslow,"Avanti West Coast,Northern,TransPennine Express",SK9 1DH,North,North West,Manchester,None,None,None
Stockport,"Avanti West Coast,Northern,TransPennine Express",SK1 1BN,North,North West,Manchester,Stockport Viaduct,Stockport Hat Museum,None
Manchester Piccadilly,"Avanti West Coast,CrossCountry,Northern,TransPennine Express,East Midlands Railway",M1 2BN,North,North West,Manchester,Piccadilly Gardens,Manchester Art Gallery (nearby),None
Manchester Oxford Road,"Northern,TransPennine Express",M1 6FU,North,North West,Manchester,Manchester Central Library,Bridgewater Hall,None
Manchester Victoria,"Northern,TransPennine Express",M3 1WY,North,North West,Manchester,Manchester Arena,Chetham's Library,None
Salford Central,Northern,Unknown,North,North West,Manchester,None,None,None
Salford Crescent,"Northern,TransPennine Express",M5 4AA,North,North West,Manchester,University of Salford,None,None
Deansgate,Northern,Unknown,North,North West,Manchester,None,None,None
Manchester Airport,"Northern,TransPennine Express",M90 1QX,North,North West,Manchester,None,None,None
Wythenshawe,Northern,Unknown,North,North West,Manchester,None,None,None
Heald Green,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Cheadle Hulme,Northern,Unknown,North,North West,Manchester,None,None,None
Bramhall,Northern,Unknown,North,North West,Manchester,None,None,None
Poynton,Northern,Unknown,North,North West,Manchester,None,None,None
Adlington (Cheshire),Northern,Unknown,North,North West,Manchester,None,None,None
Prestbury,Northern,Unknown,North,North West,Manchester,None,None,None
Chelford,Northern,Unknown,North,North West,Manchester,None,None,None
Alderley Edge,Northern,Unknown,North,North West,Manchester,None,None,None
Handforth,Northern,Unknown,North,North West,Manchester,None,None,None
Gatley,Northern,Unknown,North,North West,Manchester,None,None,None
East Didsbury,Northern,Unknown,North,North West,Manchester,None,None,None
Didsbury Village,Northern,Unknown,North,North West,Manchester,None,None,None
Burton Road,Northern,Unknown,North,North West,Manchester,None,None,None
Withington,Northern,Unknown,North,North West,Manchester,None,None,None
Burnage,Northern,Unknown,North,North West,Manchester,None,None,None
Levenshulme,Northern,Unknown,North,North West,Manchester,None,None,None
Reddish South,Northern,Unknown,North,North West,Manchester,None,None,None
Reddish North,Northern,Unknown,North,North West,Manchester,None,None,None
Brinnington,Northern,Unknown,North,North West,Manchester,None,None,None
Bredbury,Northern,Unknown,North,North West,Manchester,None,None,None
Romiley,Northern,Unknown,North,North West,Manchester,None,None,None
Rose Hill Marple,Northern,Unknown,North,North West,Manchester,None,None,None
Marple,Northern,Unknown,North,North West,Manchester,None,None,None
Strines,Northern,Unknown,North,North West,Manchester,None,None,None
New Mills Newtown,Northern,Unknown,North,North West,Manchester,None,None,None
New Mills Central,Northern,Unknown,North,North West,Manchester,None,None,None
Chinley,Northern,Unknown,North,North West,Manchester,None,None,None
Chapel-en-le-Frith,Northern,Unknown,North,North West,Manchester,None,None,None
Dove Holes,Northern,Unknown,North,North West,Manchester,None,None,None
Buxton,Northern,Unknown,North,North West,Manchester,None,None,None
